                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.33251,                0.93269,                      1,                 0.6273,              4.284e-05,              4.284e-05,              4.284e-05
                      2,                0.39212,                0.93269,                      1,                0.62933,             9.2636e-05,             9.2636e-05,             9.2636e-05
                      3,                0.41885,                0.93269,                      1,                 0.6317,             0.00014223,             0.00014223,             0.00014223
                      4,                0.31377,                0.92308,                      1,                0.63149,             0.00019163,             0.00019163,             0.00019163
                      5,                0.32859,                0.89423,                      1,                0.64085,             0.00024084,             0.00024084,             0.00024084
                      6,                0.26936,                0.89423,                      1,                0.64636,             0.00028984,             0.00028984,             0.00028984
                      7,                 0.2711,                0.88462,                      1,                0.66235,             0.00033865,             0.00033865,             0.00033865
                      8,                0.25722,                0.88462,                      1,                0.67244,             0.00038726,             0.00038726,             0.00038726
                      9,                0.23361,                0.86538,                      1,                0.68029,             0.00043567,             0.00043567,             0.00043567
                     10,                0.28578,                  0.875,                      1,                0.67681,             0.00048388,             0.00048388,             0.00048388
                     11,                0.25982,                0.88462,                      1,                0.67284,              0.0005319,              0.0005319,              0.0005319
                     12,                0.21014,                0.88462,                      1,                0.66658,             0.00057971,             0.00057971,             0.00057971
                     13,                0.22851,                  0.875,                      1,                0.67494,             0.00062733,             0.00062733,             0.00062733
                     14,                0.25134,                  0.875,                      1,                0.67224,             0.00067475,             0.00067475,             0.00067475
                     15,                0.22977,                0.85577,                      1,                0.68915,             0.00069421,             0.00069421,             0.00069421
                     16,                0.22111,                0.86538,                      1,                0.68747,             0.00069421,             0.00069421,             0.00069421
                     17,                0.18113,                  0.875,                      1,                0.68233,             0.00069279,             0.00069279,             0.00069279
                     18,                0.27262,                0.86538,                      1,                0.68281,             0.00069138,             0.00069138,             0.00069138
                     19,                0.23133,                0.85577,                      1,                0.69644,             0.00068997,             0.00068997,             0.00068997
                     20,                0.24354,                0.83654,                      1,                0.70162,             0.00068855,             0.00068855,             0.00068855
                     21,                0.19326,                  0.875,                      1,                0.68527,             0.00068714,             0.00068714,             0.00068714
