                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1591,                0.38462,                      1,                 1.0918,             0.00015708,             0.00015708,             0.00015708
                      2,                 1.0726,                0.50962,                      1,                  1.038,             0.00032066,             0.00032066,             0.00032066
                      3,                0.92729,                0.50962,                      1,                 1.0075,              0.0004836,              0.0004836,              0.0004836
                      4,                0.89251,                0.53846,                      1,                0.97363,             0.00064588,             0.00064588,             0.00064588
                      5,                0.78909,                0.59615,                      1,                0.98983,             0.00070835,             0.00070835,             0.00070835
                      6,                0.79081,                0.70192,                      1,                0.93432,             0.00070835,             0.00070835,             0.00070835
                      7,                 0.7299,                0.68269,                      1,                0.88622,             0.00070693,             0.00070693,             0.00070693
                      8,                0.67904,                0.65385,                      1,                0.90044,             0.00070552,             0.00070552,             0.00070552
                      9,                0.72321,                0.68269,                      1,                0.90182,              0.0007041,              0.0007041,              0.0007041
                     10,                0.69459,                0.69231,                      1,                0.87805,             0.00070269,             0.00070269,             0.00070269
                     11,                0.63904,                0.67308,                      1,                0.85845,             0.00070128,             0.00070128,             0.00070128
                     12,                0.66922,                0.69231,                      1,                0.85716,             0.00069986,             0.00069986,             0.00069986
                     13,                0.61434,                0.71154,                      1,                0.82072,             0.00069845,             0.00069845,             0.00069845
                     14,                 0.6769,                0.73077,                      1,                0.83155,             0.00069704,             0.00069704,             0.00069704
                     15,                0.51436,                0.66346,                      1,                0.83758,             0.00069562,             0.00069562,             0.00069562
                     16,                0.55908,                0.70192,                      1,                0.85126,             0.00069421,             0.00069421,             0.00069421
                     17,                0.55089,                0.64423,                      1,                0.85726,             0.00069279,             0.00069279,             0.00069279
                     18,                0.53194,                0.65385,                      1,                0.89394,             0.00069138,             0.00069138,             0.00069138
                     19,                0.60474,                0.67308,                      1,                0.86571,             0.00068997,             0.00068997,             0.00068997
                     20,                0.53523,                0.66346,                      1,                0.82529,             0.00068855,             0.00068855,             0.00068855
                     21,                0.53605,                0.64423,                      1,                0.83906,             0.00068714,             0.00068714,             0.00068714
                     22,                0.54369,                0.68269,                      1,                0.84868,             0.00068573,             0.00068573,             0.00068573
                     23,                0.55676,                0.67308,                      1,                0.85151,             0.00068431,             0.00068431,             0.00068431
                     24,                0.45709,                0.67308,                      1,                0.84927,              0.0006829,              0.0006829,              0.0006829
                     25,                0.50798,                0.65385,                      1,                0.88213,             0.00068148,             0.00068148,             0.00068148
                     26,                0.48814,                0.63462,                      1,                0.83728,             0.00068007,             0.00068007,             0.00068007
                     27,                0.45172,                0.67308,                      1,                0.86196,             0.00067866,             0.00067866,             0.00067866
                     28,                0.39725,                0.69231,                      1,                0.80312,             0.00067724,             0.00067724,             0.00067724
                     29,                0.45691,                0.70192,                      1,                0.84747,             0.00067583,             0.00067583,             0.00067583
                     30,                0.44854,                0.70192,                      1,                0.83434,             0.00067442,             0.00067442,             0.00067442
                     31,                0.45179,                0.64423,                      1,                0.85093,               0.000673,               0.000673,               0.000673
                     32,                0.42557,                0.73077,                      1,                0.86867,             0.00067159,             0.00067159,             0.00067159
                     33,                0.37323,                0.67308,                      1,                0.86639,             0.00067017,             0.00067017,             0.00067017
                     34,                0.44191,                0.66346,                      1,                0.84379,             0.00066876,             0.00066876,             0.00066876
                     35,                0.40204,                0.66346,                      1,                0.88722,             0.00066735,             0.00066735,             0.00066735
                     36,                0.45858,                0.63462,                      1,                0.84514,             0.00066593,             0.00066593,             0.00066593
                     37,                0.40148,                0.65385,                      1,                0.84123,             0.00066452,             0.00066452,             0.00066452
                     38,                0.44963,                0.70192,                      1,                 0.8436,             0.00066311,             0.00066311,             0.00066311
                     39,                0.40698,                0.69231,                      1,                0.91608,             0.00066169,             0.00066169,             0.00066169
                     40,                0.41445,                0.71154,                      1,                0.87456,             0.00066028,             0.00066028,             0.00066028
                     41,                0.48064,                0.70192,                      1,                0.82068,             0.00065886,             0.00065886,             0.00065886
                     42,                0.40873,                0.71154,                      1,                0.82004,             0.00065745,             0.00065745,             0.00065745
                     43,                0.41117,                0.69231,                      1,                0.83381,             0.00065604,             0.00065604,             0.00065604
                     44,                0.33009,                0.70192,                      1,                0.85471,             0.00065462,             0.00065462,             0.00065462
                     45,                 0.4634,                0.67308,                      1,                0.84225,             0.00065321,             0.00065321,             0.00065321
                     46,                0.39187,                0.71154,                      1,                0.85056,              0.0006518,              0.0006518,              0.0006518
                     47,                0.37721,                0.71154,                      1,                0.82453,             0.00065038,             0.00065038,             0.00065038
                     48,                 0.3939,                0.67308,                      1,                0.82036,             0.00064897,             0.00064897,             0.00064897
                     49,                0.35475,                0.67308,                      1,                0.84902,             0.00064756,             0.00064756,             0.00064756
                     50,                0.36038,                0.63462,                      1,                0.85512,             0.00064614,             0.00064614,             0.00064614
                     51,                0.29231,                0.66346,                      1,                0.83135,             0.00064473,             0.00064473,             0.00064473
                     52,                0.39628,                0.67308,                      1,                0.88098,             0.00064331,             0.00064331,             0.00064331
